,Jogador,Equipe,Minutos jogados:,Golos,Assistências,"Duelos ganhos, %",Altura,"Duelos defensivos ganhos, %","Duelos aéreos ganhos, %",Interseções/90,Golos sem ser por penálti,Golos esperados/90,Golos de cabeça,Golos de cabeça/90,Remate,"Remates à baliza, %","Golos marcados, %","Cruzamentos certos, %","Cruzamentos precisos do flanco esquerdo, %","Cruzamentos precisos do flanco direito, %",Dribles/90,"Dribles com sucesso, %","Duelos ofensivos ganhos, %","Passes certos, %","Passes para a frente certos, %","Passes para trás certos, %","Passes laterais certos, %","Passes curtos / médios precisos, %","Passes longos certos, %","Passes inteligentes certos, %","Passes certos para terço final, %","Passes precisos para a área de penálti, %","Passes em profundidade certos, %","Passes progressivos certos, %"
0,Rodrygo,Real Madrid,4755,19,8,45.34,174,51.28,31.71,1.97,16,0.52,0,0.0,160,37.5,11.875,32.0,30.0,32.56,6.79,57.94,49.24,88.14,82.29,93.18,87.08,91.22,53.19,28.57,82.35,63.11,22.58,83.33
1,Gabriel Jesus,Arsenal,2291,10,4,34.98,175,54.69,30.97,2.43,8,0.64,2,0.08,70,48.57,12.857,18.18,25.0,11.11,5.42,50.75,34.16,81.56,70.91,88.15,78.82,84.85,61.54,36.36,80.0,52.17,26.67,75.81
2,Neymar,Al Hilal,2292,11,11,42.6,175,47.12,20.0,0.98,10,0.44,0,0.0,63,47.62,17.46,30.0,21.43,50.0,7.58,50.26,43.19,83.38,75.05,93.85,89.32,85.91,58.24,38.81,79.76,63.03,32.95,86.54
3,Richarlison,Tottenham Hotspur,2125,6,2,31.94,184,56.98,27.03,1.4,6,0.38,3,0.13,51,43.14,11.765,28.13,7.69,42.11,3.01,36.62,29.52,71.57,52.33,87.5,79.31,76.09,47.06,45.45,60.0,48.39,40.0,58.82
4,João Pedro,Brighton,2579,13,2,43.23,182,56.64,46.36,2.62,9,0.38,2,0.07,73,39.73,17.808,32.76,36.59,25.0,7.5,52.56,40.35,77.4,62.54,92.94,77.74,81.63,53.85,34.15,63.08,52.43,26.92,80.15
5,Matheus Cunha,Wolverhampton Wanderers,2158,3,3,37.64,183,49.56,19.61,2.88,3,0.19,1,0.04,49,38.78,6.122,33.33,25.0,50.0,3.42,52.44,40.83,77.59,62.63,91.3,77.52,81.52,40.0,18.18,78.38,59.26,25.0,66.0
6,Malcom,Al Hilal,2779,25,4,47.33,171,57.45,36.27,1.52,23,0.45,1,0.03,101,39.6,24.752,28.57,26.32,30.0,5.15,69.81,48.5,86.59,82.52,93.98,87.7,89.48,75.38,68.18,78.65,65.74,71.43,90.07
7,Roberto Firmino,Al Ahli,1987,13,3,34.25,181,50.57,28.13,2.36,13,0.39,4,0.18,41,60.98,31.707,13.64,0.0,23.08,2.45,50.0,31.33,82.47,69.49,91.67,87.63,85.11,68.75,50.0,80.46,65.79,52.17,73.17
8,Pedro,Flamengo,4200,31,4,31.52,186,61.11,31.16,1.31,27,0.52,4,0.09,122,52.46,25.41,20.0,20.0,20.0,2.06,38.54,24.16,78.76,72.19,85.88,81.93,80.39,62.96,55.56,79.03,72.73,50.0,70.89
9,Gabriel Barbosa,Flamengo,5003,24,3,35.63,178,45.16,27.03,0.34,15,0.5,1,0.02,154,44.81,15.584,23.44,29.63,18.92,1.74,45.65,35.98,83.42,75.22,95.62,80.67,87.14,72.22,31.82,80.31,52.48,42.37,85.29
10,Vitor Roque,Athletico Paranaense,3939,21,7,32.96,172,49.39,22.37,1.09,18,0.44,6,0.14,89,40.45,22.472,23.53,14.29,30.0,4.01,53.25,34.69,78.85,65.33,89.55,79.25,82.47,38.46,0.0,70.97,52.17,0.0,66.67
11,Yuri Alberto,Corinthians,5557,17,8,32.4,182,47.02,32.73,1.59,16,0.32,5,0.09,136,39.71,11.765,31.03,12.5,38.1,1.94,50.0,30.76,76.63,58.74,88.14,77.48,77.93,77.78,27.27,70.69,52.94,0.0,57.75
