,Jogador,Equipa,Posição,Idade,Valor de mercado,Contrato termina,Partidas jogadas,Minutos jogados:,Golos,Golos esperados,Naturalidade,País de nacionalidade,Pé,Altura,Peso,Emprestado
7,Robinho,CSA,"RW, LW, CF",24,300000,2023-12-31,24,1260,2,2.1,Brazil,Brazil,direito,176,75,sim
8,Kawê,Red Bull Bragantino,"LCMF, AMF, RWF",21,300000,2027-06-30,4,115,0,0.12,Brazil,Brazil,direito,178,66,sim
10,Júnior Todinho,CSA,"CF, RW",29,300000,2024-04-10,28,1918,6,7.06,Brazil,Brazil,esquerdo,182,72,sim
13,João Veras,Botafogo SP,"CF, RAMF",22,300000,2023-11-30,7,135,1,0.35,Brazil,Brazil,direito,182,73,sim
14,Salatiel,Botafogo SP,CF,31,300000,2023-11-30,33,2698,8,7.97,Brazil,Brazil,direito,187,76,sim
15,Gabriel Bispo,KuPS,"CF, AMF",26,300000,2024-12-31,33,2019,3,6.61,Brazil,Brazil,direito,177,77,sim
16,Bruno Mezenga,Santos,CF,35,300000,2024-04-10,25,1432,8,3.71,Brazil,Brazil,esquerdo,185,78,sim
20,Chrigor,Portuguesa,"CF, LW",22,300000,2024-12-31,24,1923,7,7.91,Brazil,Brazil,direito,183,75,sim
23,Lucão,Al Khor,CF,23,300000,2025-06-30,22,653,3,2.72,Brazil,Brazil,direito,189,84,sim
24,Diego Jardel,Londrina,"AMF, LCMF, CF",33,300000,2023-11-30,19,1170,1,1.88,Brazil,Brazil,esquerdo,180,77,sim
25,Júnior Dutra,Figueirense,CF,35,300000,2023-12-31,10,582,1,1.05,Brazil,Brazil,direito,183,77,sim
26,Gabriel Santos,Sport Recife,CF,24,300000,2025-01-30,38,1309,5,2.95,Brazil,Brazil,direito,185,77,sim
30,Diego Carioca,Kolos Kovalivka,"LW, LB, LWF",25,300000,2024-06-30,15,966,1,2.02,Brazil,Brazil,direito,180,75,sim
31,Jô,Chaves,CF,28,300000,2024-06-30,21,684,2,3.49,Brazil,Brazil,esquerdo,192,84,sim
35,Léo Gamalho,Vitória,CF,37,300000,2023-12-31,37,2702,13,13.45,Brazil,Brazil,direito,188,87,sim
50,Iago Dias,Londrina,"CF, LAMF, RW",30,300000,2023-11-30,33,2393,4,4.55,Brazil,Brazil,direito,175,74,sim
51,Zé Vitor,Londrina,CF,24,300000,2024-12-31,26,1443,2,4.62,Brazil,Brazil,direito,182,78,sim
56,Dudu,Nacional,"CF, RW",24,300000,2025-06-30,42,2764,5,9.49,Brazil,Brazil,direito,179,73,sim
57,Leandrinho,Maringá,"CF, RWF",25,300000,2024-08-07,5,110,0,0.42,Brazil,Brazil,direito,174,66,sim
58,Matheus Lucas,Pouso Alegre,CF,25,300000,2023-12-31,26,1338,4,7.6,Brazil,Brazil,direito,180,80,sim
60,Thuram,Pendikspor,CF,32,300000,2024-06-30,32,2809,11,9.41,Brazil,Brazil,direito,183,79,sim
61,Anselmo,Al Wehda,"CF, AMF, RDMF",34,300000,2024-06-30,36,3667,6,6.67,Brazil,Brazil,direito,182,80,sim
62,Marcelo Moreno,Independiente del Valle,CF,36,300000,2023-12-31,35,1590,4,5.81,Bolivia,"Bolivia, Brazil",direito,187,87,sim
64,Tardeli,Port FC,CF,33,300000,2024-05-31,30,2814,16,14.03,Brazil,"Brazil, Thailand",direito,185,0,sim
66,Rômulo,Grêmio Novorizontino,"LCMF, RCMF, LWF",22,300000,2025-06-30,48,2649,7,5.05,Brazil,Brazil,direito,175,64,sim
67,Pablo Dyego,Ponte Preta,"LW, LAMF, CF",29,300000,2023-11-30,31,2477,9,11.12,Brazil,Brazil,direito,174,66,sim
68,Aylon,Grêmio Novorizontino,"LWF, AMF, LW",31,300000,2023-11-30,54,4030,13,15.15,Brazil,Brazil,direito,180,75,sim
69,Felipe Marques,Grêmio Novorizontino,"AMF, RWF, LWF",33,300000,2023-11-30,39,1665,2,4.72,Brazil,Brazil,direito,168,69,sim
70,Vitinho,Vålerenga II,"RCMF, CF",20,300000,2024-12-31,32,2379,4,4.65,Brazil,Brazil,esquerdo,180,77,sim
72,Daniel Bahia,Plaza Colonia,CF,25,300000,2024-12-31,11,532,1,1.9,Brazil,Brazil,direito,185,80,sim
74,Samuel,Oita Trinita,CF,22,275000,2024-01-31,22,750,1,1.74,Brazil,Brazil,esquerdo,183,96,sim
78,Douglas Vieira,Sanfrecce Hiroshima,CF,35,275000,2024-01-31,30,1561,8,7.43,Brazil,Brazil,direito,189,82,sim
82,Ricardo Bueno,Confiança,CF,36,250000,2023-11-30,23,1703,2,4.83,Brazil,Brazil,direito,183,75,sim
83,Joao Morelli,HFX Wanderers FC,"RW, CF, AMF",27,250000,2023-11-30,9,487,4,2.51,Brazil,Brazil,direito,180,0,sim
85,Diogo,Johor Darul Ta'zim,CF,36,250000,2023-12-31,13,766,7,4.75,Brazil,Brazil,direito,188,82,sim
87,Patrick Luan,Krumovgrad,"CF, RAMF, RWF",24,250000,2024-06-30,20,1165,3,2.81,Brazil,Brazil,direito,179,77,sim
90,Paulo Sérgio,ABC,CF,34,250000,2023-12-31,25,1903,8,7.32,Brazil,Brazil,direito,181,79,sim
91,Júnior Negão,Sichuan Jiuniu,CF,36,250000,2023-12-31,7,220,1,1.04,Brazil,Brazil,direito,187,85,sim
93,Jefferson da Silva,Shanghai Jiading Huilong,CF,33,250000,2023-12-31,29,1981,8,6.79,Brazil,"Brazil, Bolivia",direito,188,0,sim
97,Yann Rolim,Ituano,"AMF, CF",28,250000,2023-11-30,30,1744,4,3.63,Brazil,Brazil,direito,173,68,sim
98,Aloísio,América Mineiro,"CF, LW",35,250000,2023-12-31,34,2104,12,11.66,Brazil,"Brazil, China PR",direito,176,78,sim
99,Lulinha,Madura United,"LWF, LW, LAMF",33,250000,2024-01-20,36,3094,10,8.62,Brazil,Brazil,direito,170,70,sim
103,Cristiano,Ventforet Kofu,"CF, RAMF, RW",36,250000,2024-01-31,25,1324,3,2.46,Brazil,Brazil,direito,183,83,sim
104,Cleiton Silva,East Bengal,CF,36,250000,2024-05-31,23,2167,12,9.19,Brazil,Brazil,ambos,174,70,sim
105,Jean Lucas,Avaí,"LWF, LW, CF",28,250000,2023-12-31,6,519,0,0.71,Brazil,Brazil,direito,175,73,sim
107,Fabrício,Levante,"CF, LW, LAMF",23,250000,2027-06-30,35,2058,4,5.96,Brazil,Brazil,direito,186,77,sim
109,Maxuell,Birkirkara,CF,32,250000,2026-06-30,18,1187,7,10.0,Brazil,Brazil,direito,182,74,sim
111,Kleiton,Tombense,"CF, LW, RW",24,250000,2023-12-31,29,2141,2,3.32,Brazil,Brazil,direito,180,72,sim
112,Jáderson,Tombense,"RAMF, RW, RWF",23,250000,2024-12-31,33,1685,0,1.29,Brazil,Brazil,esquerdo,170,65,sim
120,Denner,Grêmio Novorizontino,"AMF, LW, CF",23,250000,2024-12-31,18,559,0,0.63,Brazil,Brazil,esquerdo,181,77,sim
121,Vágner Love,Sport Recife,CF,39,250000,2023-12-31,57,5079,23,21.26,Brazil,Brazil,direito,172,72,sim
122,Felipe Garcia,Operário PR,CF,32,250000,2023-11-30,40,3472,15,12.21,Brazil,Brazil,direito,185,80,sim
124,Gustavo Coutinho,Atlético GO,CF,24,250000,2024-12-31,35,2812,15,10.01,Brazil,Brazil,direito,182,78,sim
128,Lohan,Criciúma,CF,28,250000,2023-11-30,29,1365,4,8.28,Brazil,Brazil,direito,191,86,sim
129,Ítalo,Criciúma,"LWF, LW",30,250000,2023-12-31,27,1234,0,1.01,Brazil,Brazil,direito,175,71,sim
132,Derley,Prachuap,CF,35,250000,2024-05-31,31,3052,6,12.05,Brazil,Brazil,direito,183,81,sim
137,Kennedy Rocha,Herediano,"LW, LAMF, CF",27,250000,2024-06-30,29,1491,5,3.58,Brazil,Brazil,direito,158,0,sim
