,Jogador,Equipa,Posição,Idade,Valor de mercado,Contrato termina,Partidas jogadas,Minutos jogados:,Golos,Golos esperados,Naturalidade,País de nacionalidade,Pé,Altura,Peso,Emprestado
2,Da Silva,Red Bull Bragantino,"RCB, LCB, CB",22,500000,2024-12-31,7,538,0,0.28,Brazil,Brazil,direito,192,82,sim
3,Rodrigo Moledo,Internacional,"RCB, LCB",36,500000,2023-12-31,27,2055,1,1.75,Brazil,Brazil,direito,188,84,sim
4,Gabriel Pereira,Gil Vicente,"RCB, LCB",23,500000,2026-06-30,25,2266,1,1.34,Brazil,Brazil,direito,188,86,sim
5,Bruno Uvini,Grêmio,"RCB, LCB",32,500000,2023-12-31,29,2476,2,2.6,Brazil,"Brazil, Italy",direito,188,85,sim
6,Mansur,Estrela Amadora,LCB,30,500000,2025-06-30,24,2239,1,1.3,Brazil,Brazil,esquerdo,181,74,sim
7,Emerson Santos,Atlético GO,"LCB, RCB, RB",28,500000,2025-01-01,26,1626,0,0.54,Brazil,Brazil,direito,184,75,sim
8,Camutanga,Vitória,"RCB, LCB, CB",30,500000,2023-11-30,46,4272,3,2.38,Brazil,Brazil,direito,189,80,sim
9,Matheus Costa,Marítimo,"RCB, LCB",28,500000,2026-06-30,24,1840,2,3.42,Brazil,"Brazil, Portugal",direito,188,82,sim
10,Márcio Silva,Botafogo SP,LCB,22,500000,2025-08-31,35,3243,0,1.86,Brazil,Brazil,esquerdo,192,85,sim
12,Rafael Thyere,Sport Recife,RCB,30,500000,2024-12-31,54,5416,5,3.89,Brazil,Brazil,direito,189,86,sim
15,Matheus Pereira,Oita Trinita,RCB,26,500000,2025-01-31,30,2689,2,2.16,Brazil,Brazil,direito,184,83,sim
17,Edu,Goiás,"RCB, LCB",23,500000,2024-06-30,20,1183,0,0.59,Brazil,Brazil,direito,185,88,sim
18,Maicon,Vasco da Gama,"RCB, LCB",35,500000,2023-12-31,25,2093,0,1.22,Brazil,"Brazil, Portugal",direito,191,80,sim
20,Roberto,Avaí,"RCB, LCB",25,500000,2023-11-30,30,2598,0,1.04,Brazil,Brazil,direito,188,88,sim
21,Paulo Ricardo,Al Hazem,RCB,29,500000,2023-12-31,23,2288,0,0.8,Brazil,Brazil,direito,186,80,sim
22,Marllon,Cuiabá,RCB,31,500000,2023-12-31,37,3797,2,2.81,Brazil,Brazil,direito,186,75,sim
23,Artur,Ponte Preta,"LB, LCB",29,500000,2023-11-30,48,4765,0,1.93,Brazil,Brazil,esquerdo,178,75,sim
24,Vitor Mendes,Fluminense,"RCB, LCB",24,450000,2024-12-31,13,798,1,0.7,Brazil,Brazil,direito,186,75,sim
25,Léo Borges,Pogoń Szczecin,"LB, LCB",22,450000,2025-06-30,19,754,0,0.16,Brazil,Brazil,esquerdo,179,73,sim
26,Clayton,AVS ,"RCB, LCB, RB",23,450000,2024-06-30,40,3725,3,2.61,Brazil,Brazil,direito,187,81,sim
27,Marcelo Alves,Sochi,"CB, LCB, RCB",25,450000,2024-06-30,38,2987,3,1.34,Brazil,Brazil,direito,192,88,sim
29,Pedro Barcelos,Mafra,LCB,27,425000,2024-06-05,29,2315,0,0.22,Brazil,Brazil,esquerdo,188,80,sim
30,Valdo,V-Varen Nagasaki,RCB,31,400000,2025-01-31,13,1231,0,0.99,Brazil,Brazil,direito,183,77,sim
31,Lucas Mezenga,Tondela,"RCB, LCB",21,400000,2024-12-31,3,216,0,0.04,Brazil,Brazil,direito,185,78,sim
32,Maurício Antônio,Coritiba,"LCB, CB",31,400000,2024-06-30,19,1852,0,0.29,Brazil,"Brazil, Portugal",direito,183,82,sim
33,Tiago Pagnussat,Ceará,RCB,33,400000,2024-12-31,39,3806,2,2.7,Brazil,"Brazil, Italy",direito,191,88,sim
34,Luiz Otávio,Ceará,"LCB, RCB",35,400000,2023-12-31,29,2790,3,1.24,Brazil,Brazil,direito,190,84,sim
36,Lucão,Guarani,"LCB, RCB",27,400000,2023-11-30,48,4786,0,1.37,Brazil,Brazil,direito,187,80,sim
37,R. Hillen,De Graafschap,LCB,20,400000,2024-06-30,37,3444,2,3.56,Netherlands,"Netherlands, Brazil",esquerdo,187,74,sim
